Specified Values,Specified Attribute Names,sfdm2,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
"0.0, 0.0, 0.0, 1.0, [-35.0,35.0], [-6.109999999999999,52.11], 4.0, [-3.272505947500001,61.0693809475], [0.38779541000999995,1.0279760739900001], [-32.364999999999995,54.364999999999995], [0.094999952,0.504999952], 2.0, [-4.300000000000001,44.3], [-0.3523824904999999,3.9519918904999995], [-2.3237603748,7.9233697548], [-30.688015189999987,294.68801519], [57.17,106.83], [-1540.0000000000005,3500.0000000000005], 1.0","hospdead, dzgroup, dzclass, num.co, scoma, avtisst, race, sps, surv2m, hday, prg2m, dnr, resp, alb, crea, glucose, bun, urine, adls",2.0,1.0,1.0,1,8.0,6331,167,0.41304347826086957,0.00041899513457603507,2,2
"[22.09673875,42.77924125], 0.0, 0.0, 0.0, 0.0, [11.49,24.509999999999998], 2.0, [18.275996706,53.911503294], [45.54,82.46000000000001], [0.30304931619,0.82683349581], [0.23119995095499996,0.676759033045], [-43.1,45.1], 0.0, 0.0, [0.379999809,1.019999809], [53.35499999999999,204.645], [-42.90039060000001,69.0996094], [30.5,225.5], [-4.800000000000001,52.8], [-89.86375000000004,489.86375000000004], [6.828760150000001,7.43100585], [-140.3600343,594.3600343]","age, death, hospdead, dzgroup, num.co, edu, race, sps, aps, surv2m, surv6m, hday, diabetes, dementia, prg2m, dnrday, wblc, hrt, resp, pafi, ph, glucose",3.0,1.0,1.0,1,1.5,6344,180,0.4782608695652174,7.856158773300657e-05,2,2
"1.0, [50.49999999999999,169.5], [-470.71000000000004,886.71], 7.0, 1.0, [4.8,17.2], [-35.5,35.5], [27.95,73.05], 4.0, [11.803744510000001,71.19625549], [0.33499999999999996,0.665], [0.33499999999999996,0.665], [64.38,195.62], [50.0,200.0], [34.24505985,40.94244015], [-12.013698195400002,27.6133075754], [-2.9597381620000003,4.359640502], [111.28,140.72], [-142.62403086999996,518.62403087], [1.5579394819999999,4.245771518]","death, slos, d.time, dzgroup, num.co, edu, scoma, avtisst, race, sps, prg2m, prg6m, meanbp, hrt, temp, bili, crea, sod, glucose, adlsc",2.0,1.0,1.0,1,1.0,6358,194,0.43478260869565216,5.2374391822004384e-05,2,2
"[32.924187399999994,75.94379260000001], [-566.4100000000001,588.4100000000001], 6.0, 1.0, [-31.5,31.5], [-12.189999999999998,36.19], 1.0, [-6.409505307,51.003255307], [-8.850000000000001,40.85], [0.44915161097499995,0.7886413570249999], 0.0, 1.0, [-52.660000000000004,50.660000000000004], [33.0,207.0], [0.8900426980000002,5.509371302], [-12.294526287800002,13.494477467800001], [0.9677490149999999,3.443383785]","age, d.time, dzgroup, num.co, scoma, avtisst, race, sps, aps, surv2m, diabetes, dnr, dnrday, hrt, alb, bili, adlsc",0.0,1.0,1.0,1,2.0,6372,208,0.3695652173913043,0.00010474878364400877,2,2
"[1.5999979999999994,34.692002], 0.0, 1.0, [-32.30000000000001,202.3], [1301.33,2496.67], 0.0, [241151.93,1042624.0700000001], [179573.68,477183.32], [43.69,130.31], [0.271729736545,0.774168701455], [-37.22,39.22], 0.0, 1.0, [0.469999714,1.129999714], [0.5649997,1.0349997], 2.0, [-1.355000000000004,89.355], [-69.0,73.0], [80.5,203.5], [-1.7745636350000003,5.574368235], [6.124607135000001,15.273830465], [117.03999999999999,150.96], [7.052787905,7.646430095], [-2.086606449,2.086606449]","age, death, sex, slos, d.time, dzclass, charges, totcst, aps, surv6m, hday, diabetes, ca, prg2m, prg6m, dnr, meanbp, wblc, hrt, alb, crea, sod, ph, adlsc",1.0,1.0,1.0,1,1.5,6377,213,0.5217391304347826,7.856158773300657e-05,2,2
"[40.9945972,87.32340280000001], 0.0, 1.0, 0.0, [-24.799999999999997,192.8], [665.3199999999999,1394.68], 0.0, 2.0, [16981.90999999999,263934.59], [27789.917004500006,241025.3329955], [1.5199999999999996,44.980000000000004], 4.0, [37.56,128.44], [0.051929931845,0.7439685061550001], [-32.980000000000004,66.98], 1.0, [0.419999809,0.979999809], 2.0, [13.89,154.11], [-4.550000000000011,130.55], [-47.4023438,90.5976562], [-12.5,32.5], [35.649319750000004,40.14756025], [107.54125000000002,476.45875], [0.24282806850000016,4.7571719315], [-0.5320728315000007,9.5320728315], [-2955.0000000000005,3345.0000000000005], [0.9369775609999997,4.402866239]","age, death, sex, hospdead, slos, d.time, dzclass, num.co, totcst, totmcst, avtisst, race, aps, surv6m, hday, diabetes, prg2m, dnr, dnrday, meanbp, wblc, resp, temp, pafi, alb, crea, urine, adlsc",1.0,1.0,1.0,1,3.5,6400,236,0.6086956521739131,0.00018331037137701535,2,2
"0.0, 3.0, [-4.835000000000001,12.835], 3.0, [-177439.2512,215152.1888], [-139031.07853385,152390.65665385002], [21.56,49.44], [6.599999999999998,63.400000000000006], [0.5639868164899999,0.8937768555100001], 0.0, 1.0, [0.3999999,0.7999999], 2.0, [-110.61500000000001,136.615], [64.57499999999999,151.425], [-7.0,143.0], [35.34482525,40.84267475], [0.07997561600000003,5.119243184], [-10.580001832,14.580001832], [-3.6235650648,6.6235650648], [7.23594731,7.56288069], 7.0, [5.408520505,8.591479495]","dzgroup, num.co, edu, income, totcst, totmcst, avtisst, aps, surv2m, dementia, ca, prg6m, dnr, dnrday, meanbp, hrt, temp, alb, bili, crea, ph, adls, adlsc",3.0,1.0,1.0,1,6.5,6405,241,0.5,0.0003404335468430285,2,2
"0.0, 0.0, [-109.00000000000001,129.0], [-503.75,1015.75], 2.0, 1.0, [0.39000000000000057,19.61], 3.0, [-216480.93679054998,231313.43679054998], 4.0, [3.7444660464999995,32.4508463535], [-28.020000000000003,60.02], [0.73372070352,1.04411132848], [-43.1,45.1], 0.0, [0.21999999999999997,0.78], 2.0, [-91.47500000000001,111.47500000000001], [-12.9023438,59.0976562], [6.899999999999999,41.1], [-18.200012249999986,244.20001225], [-30.155,48.155], [2710.0,7390.0], [2.656083982,5.343916018]","sex, hospdead, slos, d.time, dzgroup, dzclass, edu, income, totmcst, race, sps, aps, surv2m, hday, dementia, prg6m, dnr, dnrday, wblc, resp, glucose, bun, urine, adlsc",4.0,1.0,1.0,1,8.0,6444,280,0.5217391304347826,0.00041899513457603507,2,2
"0.0, 3.0, [5.49,18.509999999999998], 3.0, [-203849.71000000002,292299.71], 0.0, 1.0, [0.3149999,0.8849999000000001], 2.0, [-22.35,88.35], [62.17,181.82999999999998], [-41.90039062,48.09960938], [29.6,58.4], [-20.086198424400003,22.6858078044], [7.169097005,7.590668995000001], [-14.560000000000002,46.56], [400.0,3100.0], [4.063920907,8.520063493]","dzgroup, num.co, edu, income, charges, diabetes, ca, prg6m, dnr, dnrday, meanbp, wblc, resp, bili, ph, bun, urine, adlsc",4.0,1.0,1.0,1,4.5,6447,283,0.391304347826087,0.00023568476319901972,2,2
"1.0, 0.0, [-478.5,534.5], 0.0, 3.0, [-177821.821,280162.25899999996], [-71495.97750000001,143796.1025], [4.7784324674999965,59.2215675325], [0.38848876925,0.87347412075], [0.31465454142500004,0.741253662575], 0.0, 0.0, 1.0, 0.0, [37.600547399999996,40.399452600000004], [164.19187500000004,682.433125], [114.6,159.4], [7.0709967,7.587207299999999], [0.34753417499999983,5.652465825]","sex, hospdead, d.time, num.co, income, charges, totcst, sps, surv2m, surv6m, diabetes, dementia, ca, dnr, temp, pafi, sod, ph, adlsc",0.0,1.0,1.0,1,2.5,6449,285,0.41304347826086957,0.00013093597955501096,2,2
"0.0, [18.200000000000003,167.8], 2.0, [11.5,62.5], [-7762.289999999979,365832.79], 2.0, [35.47,96.53], [-0.26590209961,0.45187622061], [-0.23318450929500006,0.30717437749500004], 0.0, 1.0, [0.36,0.64], [0.315,0.685], 2.0, [-8.475000000000009,194.47500000000002], [27.0,213.0], [-0.5499999999999972,52.55], [34.5943365,37.5931635], [-126.00624500000002,357.100005], [-0.9222665645000001,6.3216805645], [120.44,141.56], [-144.86403331999998,568.86403332], [26.169999999999998,75.83]","hospdead, slos, num.co, scoma, totcst, race, aps, surv2m, surv6m, dementia, ca, prg2m, prg6m, dnr, dnrday, hrt, resp, temp, pafi, alb, sod, glucose, bun",2.0,1.0,1.0,1,1.5,6556,392,0.5,7.856158773300657e-05,2,2
"[34.87963805,67.14434195], 0.0, 0.0, [-23.360000000000014,1435.3600000000001], 1.0, 3.0, [7.97,16.03], 1.0, [-160454.6122,168815.6278], [-145129.6935337,153399.8888537], [-18.752256313500006,49.549131313500006], [10.57,57.43], [0.70488525431,1.1510717776900001], [-49.715,51.715], 0.0, [0.6049998089999999,1.2949998090000001], [0.6099996000000001,1.1899996], [-91.78500000000001,103.78500000000001], [62.499999999999986,233.5], [19.85,44.15], [34.8990265,37.897853500000004], 3.0","age, death, sex, d.time, dzgroup, num.co, edu, income, totcst, totmcst, sps, aps, surv2m, hday, dementia, prg2m, prg6m, dnrday, hrt, resp, temp, adls",2.0,1.0,1.0,1,11.5,6603,439,0.4782608695652174,0.0006023055059530504,2,2
"[-2.0197627500000053,43.48174275], 0.0, 0.0, [-170.97000000000003,1226.97], 0.0, [6.574999999999999,17.425], [-161891.45,281356.95], [-112013.05159279998,229163.61399279998], 2.0, [7.820402173999998,51.374910226], [-14.459999999999997,38.459999999999994], 0.0, 0.0, 1.0, [0.235,0.765], [0.3,0.7], 2.0, [-100.77000000000001,142.77], [-21.2011719,52.7988281], [-33.3,81.3], [-1090.0,4580.0], [1.674921848,3.938359352]","age, death, hospdead, d.time, dzgroup, edu, totcst, totmcst, race, sps, hday, diabetes, dementia, ca, prg2m, prg6m, dnr, dnrday, wblc, bun, urine, adlsc",4.0,0.014458261438686257,0.42857142857142855,1,5.92,6632,468,0.4782608695652174,0.00031005639958626595,3,7
"[61.6816879,96.42829210000001], 0.0, [1076.32,1805.68], 0.0, [-391330.721,511915.659], [-7.880000000000003,47.88], [-4.032473549500001,48.430911149500005], [-0.6000000000000014,84.6], [0.35956543002,1.00420410198], 0.0, 1.0, 2.0, [8.649999999999999,47.35], [35.647720650000004,39.94603935], [144.94374999999997,759.8062500000001], [125.96,156.04], 3.0, [0.913393551,5.086606449]","age, death, d.time, dzgroup, charges, avtisst, sps, aps, surv6m, diabetes, ca, dnr, resp, temp, pafi, sod, adls, adlsc",3.0,1.0,1.0,1,6.5,6657,493,0.391304347826087,0.0003404335468430285,2,2
"[50.54483745,92.73714255], 1.0, [-45.0,57.0], [-231.64000000000004,335.64000000000004], 5.0, 1.0, [87.0,113.0], [-97254.213,105373.627], [-0.09322245150000086,40.491660051500006], [-0.03431274386999997,0.52827026387], [-0.04651977527999998,0.40851928728], [-30.605,32.605000000000004], 0.0, 1.0, [0.5149998090000001,0.884999809], [0.22999999999999998,0.77], [-128.15,130.15], [-14.900390599999996,43.0996094], [-132.008755,368.66499500000003], [0.7250335850000003,3.874575815], [-3.874660495,5.274562835], [71.07998040000001,490.9200196], [890.0,6200.0]","age, sex, slos, d.time, dzgroup, num.co, scoma, totcst, sps, surv2m, surv6m, hday, diabetes, ca, prg2m, prg6m, dnrday, wblc, pafi, alb, crea, glucose, urine",0.0,1.0,1.0,1,7.0,6717,553,0.5,0.0003666207427540307,2,2
