Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
38,0,0,39,39,1,1,38.0,0,0,0,1,0,1.3911592960357666,0.0004968643188476562,1.4066696166992188e-05,0.0,0.0,7.843971252441406e-05
39,0,0,40,40,1,1,39.0,0,0,0,1,0,1.391207218170166,0.0005195140838623047,1.430511474609375e-05,0.0,0.0,7.963180541992188e-05
40,0,0,41,41,1,1,40.0,0,0,0,1,0,1.3912615776062012,0.0005495548248291016,1.4543533325195312e-05,0.0,0.0,8.082389831542969e-05
41,0,0,42,42,1,1,41.0,0,0,0,1,0,1.3913185596466064,0.0005772113800048828,1.4781951904296875e-05,0.0,0.0,8.249282836914062e-05
42,0,0,43,43,1,1,42.0,0,0,0,1,0,1.3913710117340088,0.0006055831909179688,1.5020370483398438e-05,0.0,0.0,8.392333984375e-05
43,0,0,44,44,1,1,43.0,0,0,0,1,0,1.3914248943328857,0.0006337165832519531,1.52587890625e-05,0.0,0.0,8.678436279296875e-05
44,0,0,45,45,1,1,44.0,0,0,0,1,0,1.3914828300476074,0.0006682872772216797,1.5497207641601562e-05,0.0,0.0,8.821487426757812e-05
45,0,0,46,46,1,1,45.0,0,0,0,1,0,1.3915276527404785,0.0006947517395019531,1.5974044799804688e-05,0.0,0.0,8.96453857421875e-05
46,0,0,47,47,1,1,46.0,0,0,0,1,0,1.3915789127349854,0.0007231235504150391,1.5974044799804688e-05,0.0,0.0,9.083747863769531e-05
47,0,0,48,48,1,1,47.0,0,0,0,1,0,1.3916289806365967,0.0007512569427490234,1.621246337890625e-05,0.0,0.0,9.226799011230469e-05
48,0,0,49,49,1,1,48.0,0,0,0,1,0,1.39168381690979,0.0007863044738769531,1.6450881958007812e-05,0.0,0.0,9.393692016601562e-05
49,0,0,50,50,1,1,49.0,0,0,0,1,0,1.3917407989501953,0.0008165836334228516,1.6927719116210938e-05,0.0,0.0,9.512901306152344e-05
50,0,0,50,50,1,1,38.0,0,0,0,0,0,1.3917829990386963,0.0008509159088134766,1.71661376953125e-05,0.0,0.0,9.679794311523438e-05
51,0,0,51,51,1,1,51.0,0,0,0,1,0,1.3918378353118896,0.0008790493011474609,1.7404556274414062e-05,0.0,0.0,9.822845458984375e-05
52,0,0,52,52,1,1,52.0,0,0,0,1,0,1.3919003009796143,0.0009107589721679688,1.7642974853515625e-05,0.0,0.0,9.965896606445312e-05
53,0,0,53,53,1,1,53.0,0,0,0,1,0,1.3919579982757568,0.0009405612945556641,1.811981201171875e-05,0.0,0.0,0.0001010894775390625
54,0,0,54,54,1,1,54.0,0,0,0,1,0,1.3920137882232666,0.0009717941284179688,1.8596649169921875e-05,0.0,0.0,0.00010418891906738281
55,0,0,55,55,1,1,55.0,0,0,0,1,0,1.3920714855194092,0.0010035037994384766,1.8596649169921875e-05,0.0,0.0,0.00010538101196289062
56,0,0,56,56,1,1,56.0,0,0,0,1,0,1.3921337127685547,0.0010383129119873047,1.8835067749023438e-05,0.0,0.0,0.00010704994201660156
57,0,0,57,57,1,1,57.0,0,0,0,1,0,1.392181158065796,0.0010650157928466797,1.9073486328125e-05,0.0,0.0,0.00010824203491210938
58,0,0,58,58,1,1,58.0,0,0,0,1,0,1.3922438621520996,0.0011038780212402344,1.9311904907226562e-05,0.0,0.0,0.00010967254638671875
59,0,0,59,59,1,1,59.0,0,0,0,1,0,1.39229416847229,0.0011324882507324219,1.9311904907226562e-05,0.0,0.0,0.00011110305786132812
60,0,0,60,60,1,1,60.0,0,0,0,1,0,1.39235520362854,0.0011718273162841797,1.9788742065429688e-05,0.0,0.0,0.0001125335693359375
61,0,0,61,61,1,1,61.0,0,0,0,1,0,1.3924148082733154,0.0012083053588867188,2.002716064453125e-05,0.0,0.0,0.00011420249938964844
62,0,0,62,62,1,1,62.0,0,0,0,1,0,1.3924882411956787,0.001245737075805664,2.0265579223632812e-05,0.0,0.0,0.00011730194091796875
63,0,0,63,63,1,1,63.0,0,0,0,1,0,1.3925559520721436,0.0012865066528320312,2.0503997802734375e-05,0.0,0.0,0.00011897087097167969
64,0,0,65,65,2,1,17.0,0,0,2,0,0,1.3928306102752686,0.0013337135314941406,2.09808349609375e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00012063980102539062
65,0,0,66,66,2,1,65.0,0,0,0,1,0,1.3929011821746826,0.0013699531555175781,2.1219253540039062e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00012350082397460938
66,0,0,67,67,1,1,66.0,0,0,0,1,0,1.39296293258667,0.0014069080352783203,2.1696090698242188e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00012564659118652344
67,0,0,68,68,1,1,67.0,0,0,0,1,0,1.3930244445800781,0.0014407634735107422,2.193450927734375e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00012731552124023438
68,0,0,69,69,1,1,68.0,0,0,0,1,0,1.3930864334106445,0.0014793872833251953,2.2411346435546875e-05,2.8133392333984375e-05,5.817413330078125e-05,0.0001289844512939453
69,0,0,70,70,1,1,69.0,0,0,0,1,0,1.3931498527526855,0.0015208721160888672,2.2649765014648438e-05,2.8133392333984375e-05,5.817413330078125e-05,0.0001304149627685547
70,0,0,71,71,1,1,70.0,0,0,0,1,0,1.3932123184204102,0.0015583038330078125,2.288818359375e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00013208389282226562
71,0,0,72,72,1,1,71.0,0,0,0,1,0,1.3932793140411377,0.001603841781616211,2.3365020751953125e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00013399124145507812
72,0,0,73,73,1,1,72.0,0,0,0,1,0,1.3933470249176025,0.0016508102416992188,2.3603439331054688e-05,2.8133392333984375e-05,5.817413330078125e-05,0.0001354217529296875
73,0,0,74,74,1,1,73.0,0,0,0,1,0,1.3934123516082764,0.0016891956329345703,2.384185791015625e-05,2.8133392333984375e-05,5.817413330078125e-05,0.0001366138458251953
74,0,0,75,75,1,1,74.0,0,0,0,1,0,1.3934762477874756,0.0017285346984863281,2.4318695068359375e-05,2.8133392333984375e-05,5.817413330078125e-05,0.0001380443572998047
75,0,0,76,76,1,1,75.0,0,0,0,1,0,1.3935391902923584,0.0017735958099365234,2.4557113647460938e-05,2.8133392333984375e-05,5.817413330078125e-05,0.0001399517059326172
76,0,0,77,77,1,1,76.0,0,0,0,1,0,1.3936152458190918,0.0018239021301269531,2.47955322265625e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00014138221740722656
77,0,0,78,78,1,1,77.0,0,0,0,1,0,1.3936951160430908,0.0018758773803710938,2.47955322265625e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00014281272888183594
78,0,0,79,79,1,1,78.0,0,0,0,1,0,1.3937664031982422,0.0019252300262451172,2.5033950805664062e-05,2.8133392333984375e-05,5.817413330078125e-05,0.0001442432403564453
79,0,0,80,80,1,1,79.0,0,0,0,1,0,1.3938350677490234,0.0019690990447998047,2.5033950805664062e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00014543533325195312
80,0,0,81,81,1,1,80.0,0,0,0,1,0,1.3939011096954346,0.0020127296447753906,2.5272369384765625e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00014662742614746094
81,0,0,82,82,1,1,81.0,0,0,0,1,0,1.3939793109893799,0.0020661354064941406,2.5510787963867188e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00014781951904296875
82,0,0,83,83,1,1,82.0,0,0,0,1,0,1.3940527439117432,0.0021140575408935547,2.574920654296875e-05,2.8133392333984375e-05,5.817413330078125e-05,0.0001494884490966797
83,0,0,84,84,1,1,83.0,0,0,0,1,0,1.3941233158111572,0.002165079116821289,2.5987625122070312e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00015091896057128906
84,0,0,85,85,1,1,84.0,0,0,0,1,0,1.3941967487335205,0.0022170543670654297,2.6226043701171875e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00015211105346679688
85,0,0,86,86,1,1,85.0,0,0,0,1,0,1.3942761421203613,0.002269268035888672,2.6464462280273438e-05,2.8133392333984375e-05,5.817413330078125e-05,0.0001533031463623047
86,0,0,87,87,2,1,86.0,0,0,0,1,0,1.3943581581115723,0.0023229122161865234,2.6702880859375e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00015664100646972656
87,0,0,88,88,1,1,87.0,0,0,0,1,0,1.3944296836853027,0.0023703575134277344,2.7179718017578125e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00015854835510253906
88,0,0,89,89,1,1,88.0,0,0,0,1,0,1.394512414932251,0.002427816390991211,2.7418136596679688e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00015997886657714844
89,0,0,90,90,1,1,89.0,0,0,0,1,0,1.3945896625518799,0.0024831295013427734,2.765655517578125e-05,2.8133392333984375e-05,5.817413330078125e-05,0.0001614093780517578
90,0,0,91,91,1,1,90.0,0,0,0,1,0,1.3946647644042969,0.002528667449951172,2.7894973754882812e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00016427040100097656
91,0,0,91,91,1,1,83.0,0,0,0,0,0,1.394726037979126,0.002583026885986328,2.8133392333984375e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00016546249389648438
92,0,0,92,92,1,1,92.0,0,0,0,1,0,1.3947947025299072,0.0026259422302246094,2.86102294921875e-05,2.8133392333984375e-05,5.817413330078125e-05,0.0001671314239501953
93,0,0,93,93,1,1,93.0,0,0,0,1,0,1.3949849605560303,0.0027217864990234375,3.0040740966796875e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00016832351684570312
94,0,0,94,94,1,1,94.0,0,0,0,1,0,1.395183801651001,0.002845287322998047,3.0994415283203125e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00017333030700683594
95,0,0,95,95,1,1,95.0,0,0,0,1,0,1.3954098224639893,0.0029137134552001953,3.2901763916015625e-05,2.8133392333984375e-05,5.817413330078125e-05,0.0001773834228515625
96,0,0,96,96,1,1,96.0,0,0,0,1,0,1.3958556652069092,0.0032210350036621094,3.552436828613281e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00018548965454101562
97,0,0,97,97,1,1,97.0,0,0,0,1,0,1.3963289260864258,0.003621339797973633,3.600120544433594e-05,2.8133392333984375e-05,5.817413330078125e-05,0.0001971721649169922
98,0,0,98,98,2,1,98.0,0,0,0,1,0,1.3964598178863525,0.0037043094635009766,3.647804260253906e-05,2.8133392333984375e-05,5.817413330078125e-05,0.0001995563507080078
99,0,0,99,99,1,1,99.0,0,0,0,1,0,1.3965559005737305,0.003768444061279297,3.695487976074219e-05,2.8133392333984375e-05,5.817413330078125e-05,0.0002014636993408203
100,0,0,100,100,1,1,100.0,0,0,0,1,0,1.3966474533081055,0.0038361549377441406,3.719329833984375e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00020313262939453125
101,0,0,101,101,1,1,101.0,0,0,0,1,0,1.3967413902282715,0.003901958465576172,3.743171691894531e-05,2.8133392333984375e-05,5.817413330078125e-05,0.0002048015594482422
102,0,0,102,102,1,1,102.0,0,0,0,1,0,1.3968524932861328,0.003980159759521484,3.790855407714844e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00020647048950195312
103,0,0,103,103,1,1,103.0,0,0,0,1,0,1.3969500064849854,0.004047393798828125,3.838539123535156e-05,2.8133392333984375e-05,5.817413330078125e-05,0.0002079010009765625
104,0,0,104,104,1,1,104.0,0,0,0,1,0,1.397049903869629,0.004120588302612305,3.8623809814453125e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00020933151245117188
105,0,0,105,105,1,1,105.0,0,0,0,1,0,1.3971681594848633,0.00420379638671875,3.910064697265625e-05,2.8133392333984375e-05,5.817413330078125e-05,0.0002110004425048828
106,0,0,106,106,1,1,106.0,0,0,0,1,0,1.3972601890563965,0.004271507263183594,3.933906555175781e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00021386146545410156
107,0,0,107,107,1,1,107.0,0,0,0,1,0,1.3973603248596191,0.00434422492980957,3.9577484130859375e-05,2.8133392333984375e-05,5.817413330078125e-05,0.0002155303955078125
108,0,0,108,108,1,1,108.0,0,0,0,1,0,1.397444248199463,0.0044057369232177734,3.981590270996094e-05,2.8133392333984375e-05,5.817413330078125e-05,0.00021696090698242188
109,0,0,109,109,1,1,109.0,0,0,0,1,0,1.3975508213043213,0.0044765472412109375,4.00543212890625e-05,2.8133392333984375e-05,5.817413330078125e-05,0.0002186298370361328
110,0,0,111,111,1,1,9.0,0,0,2,0,0,1.3979737758636475,0.004544258117675781,4.076957702636719e-05,5.936622619628906e-05,7.891654968261719e-05,0.00022029876708984375
111,0,0,112,112,1,1,111.0,0,0,0,1,0,1.3980762958526611,0.00461268424987793,4.124641418457031e-05,5.936622619628906e-05,7.891654968261719e-05,0.00022339820861816406
112,0,0,113,113,1,1,112.0,0,0,0,1,0,1.3981802463531494,0.00467681884765625,4.1484832763671875e-05,5.936622619628906e-05,7.891654968261719e-05,0.00022554397583007812
113,0,0,114,114,1,1,113.0,0,0,0,1,0,1.3982868194580078,0.004755496978759766,4.172325134277344e-05,5.936622619628906e-05,7.891654968261719e-05,0.00022745132446289062
114,0,0,115,115,1,1,114.0,0,0,0,1,0,1.3983941078186035,0.004822969436645508,4.1961669921875e-05,5.936622619628906e-05,7.891654968261719e-05,0.0002288818359375
115,0,0,116,116,2,1,115.0,0,0,0,1,0,1.3985118865966797,0.004904508590698242,4.2438507080078125e-05,5.936622619628906e-05,7.891654968261719e-05,0.0002307891845703125
116,0,0,118,118,1,1,75.0,0,0,2,0,0,1.398726463317871,0.0049974918365478516,4.267692565917969e-05,8.916854858398438e-05,9.036064147949219e-05,0.00023245811462402344
117,0,0,119,119,1,1,117.0,0,0,0,1,0,1.398834466934204,0.005078792572021484,4.291534423828125e-05,8.916854858398438e-05,9.036064147949219e-05,0.00023484230041503906
118,0,0,120,120,1,1,118.0,0,0,0,1,0,1.3989386558532715,0.005150794982910156,4.315376281738281e-05,8.916854858398438e-05,9.036064147949219e-05,0.00023889541625976562
119,0,0,121,121,1,1,119.0,0,0,0,1,0,1.3990497589111328,0.005231142044067383,4.3392181396484375e-05,8.916854858398438e-05,9.036064147949219e-05,0.000240325927734375
120,0,0,122,122,1,1,120.0,0,0,0,1,0,1.3991482257843018,0.005303621292114258,4.38690185546875e-05,8.916854858398438e-05,9.036064147949219e-05,0.00024199485778808594
121,0,0,123,123,1,1,121.0,0,0,0,1,0,1.3992547988891602,0.005385160446166992,4.4345855712890625e-05,8.916854858398438e-05,9.036064147949219e-05,0.00024390220642089844
122,0,0,124,124,1,1,122.0,0,0,0,1,0,1.399355411529541,0.005460262298583984,4.458427429199219e-05,8.916854858398438e-05,9.036064147949219e-05,0.0002453327178955078
123,0,0,125,125,1,1,123.0,0,0,0,1,0,1.3994545936584473,0.0055353641510009766,4.482269287109375e-05,8.916854858398438e-05,9.036064147949219e-05,0.0002467632293701172
124,0,0,126,126,1,1,124.0,0,0,0,1,0,1.3995585441589355,0.005614280700683594,4.506111145019531e-05,8.916854858398438e-05,9.036064147949219e-05,0.0002484321594238281
125,0,0,127,127,1,1,125.0,0,0,0,1,0,1.3996734619140625,0.00570225715637207,4.5299530029296875e-05,8.916854858398438e-05,9.036064147949219e-05,0.00025010108947753906
126,0,0,128,128,1,1,126.0,0,0,0,1,0,1.399794578552246,0.0057947635650634766,4.57763671875e-05,8.916854858398438e-05,9.036064147949219e-05,0.00025177001953125
127,0,0,129,129,1,1,127.0,0,0,0,1,0,1.399897575378418,0.0058710575103759766,4.6253204345703125e-05,8.916854858398438e-05,9.036064147949219e-05,0.00025343894958496094
128,0,0,130,130,1,1,128.0,0,0,0,1,0,1.3999910354614258,0.0059392452239990234,4.649162292480469e-05,8.916854858398438e-05,9.036064147949219e-05,0.0002548694610595703
129,0,0,131,131,1,1,129.0,0,0,0,1,0,1.4001061916351318,0.0060253143310546875,4.696846008300781e-05,8.916854858398438e-05,9.036064147949219e-05,0.0002560615539550781
130,0,0,132,132,1,1,130.0,0,0,0,1,0,1.4002087116241455,0.006103515625,4.7206878662109375e-05,8.916854858398438e-05,9.036064147949219e-05,0.00025725364685058594
131,0,0,133,133,2,1,131.0,0,0,0,1,0,1.400338888168335,0.006207704544067383,4.76837158203125e-05,8.916854858398438e-05,9.036064147949219e-05,0.0002589225769042969
132,0,0,134,134,1,1,132.0,0,0,0,1,0,1.4004714488983154,0.006314516067504883,4.792213439941406e-05,8.916854858398438e-05,9.036064147949219e-05,0.0002605915069580078
133,0,0,135,135,1,1,133.0,0,0,0,1,0,1.4005701541900635,0.006384134292602539,4.8160552978515625e-05,8.916854858398438e-05,9.036064147949219e-05,0.0002624988555908203
134,0,0,136,136,1,1,134.0,0,0,0,1,0,1.4006710052490234,0.006459951400756836,4.839897155761719e-05,8.916854858398438e-05,9.036064147949219e-05,0.0002639293670654297
135,0,0,137,137,2,1,135.0,0,0,0,1,0,1.4007997512817383,0.0065555572509765625,4.863739013671875e-05,8.916854858398438e-05,9.036064147949219e-05,0.00026535987854003906
136,0,0,138,138,1,1,136.0,0,0,0,1,0,1.4009222984313965,0.0066492557525634766,4.887580871582031e-05,8.916854858398438e-05,9.036064147949219e-05,0.00026702880859375
137,0,0,139,139,1,1,137.0,0,0,0,1,0,1.4010469913482666,0.006744861602783203,4.9591064453125e-05,8.916854858398438e-05,9.036064147949219e-05,0.0002689361572265625
138,0,0,140,140,1,1,138.0,0,0,0,1,0,1.4012627601623535,0.0069234371185302734,5.030632019042969e-05,8.916854858398438e-05,9.036064147949219e-05,0.00027060508728027344
139,0,0,141,141,2,1,139.0,0,0,0,1,0,1.4014112949371338,0.007040977478027344,5.054473876953125e-05,8.916854858398438e-05,9.036064147949219e-05,0.00027251243591308594
140,0,0,142,142,1,1,140.0,0,0,0,1,0,1.4016034603118896,0.007189273834228516,5.1021575927734375e-05,8.916854858398438e-05,9.036064147949219e-05,0.0002741813659667969
141,0,0,143,143,1,1,141.0,0,0,0,1,0,1.4018526077270508,0.00738978385925293,5.173683166503906e-05,8.916854858398438e-05,9.036064147949219e-05,0.00027632713317871094
142,0,0,144,144,1,1,142.0,0,0,0,1,0,1.4021153450012207,0.007508039474487305,5.340576171875e-05,8.916854858398438e-05,9.036064147949219e-05,0.0002803802490234375
143,0,0,145,145,1,1,143.0,0,0,0,1,0,1.402367353439331,0.007701873779296875,5.3882598876953125e-05,8.916854858398438e-05,9.036064147949219e-05,0.0002899169921875
144,0,0,146,146,1,1,144.0,0,0,0,1,0,1.4025821685791016,0.007864952087402344,5.459785461425781e-05,8.916854858398438e-05,9.036064147949219e-05,0.0003032684326171875
145,0,0,148,148,3,1,109.0,0,0,2,0,0,1.4030816555023193,0.008040904998779297,5.507469177246094e-05,0.00015091896057128906,0.00010561943054199219,0.00030612945556640625
146,0,0,149,149,3,1,146.0,0,0,0,1,0,1.4033300876617432,0.008236169815063477,5.53131103515625e-05,0.00015091896057128906,0.00010561943054199219,0.0003123283386230469
147,0,0,150,150,2,1,147.0,0,0,0,1,0,1.4034686088562012,0.008336067199707031,5.5789947509765625e-05,0.00015091896057128906,0.00010561943054199219,0.00031447410583496094
148,0,0,151,151,1,1,148.0,0,0,0,1,0,1.4036226272583008,0.008445024490356445,5.626678466796875e-05,0.00015091896057128906,0.00010561943054199219,0.00031685829162597656
149,0,0,152,152,1,1,149.0,0,0,0,1,0,1.403773307800293,0.008566856384277344,5.6743621826171875e-05,0.00015091896057128906,0.00010561943054199219,0.0003192424774169922
150,0,0,153,153,1,1,150.0,0,0,0,1,0,1.4039175510406494,0.008676767349243164,5.698204040527344e-05,0.00015091896057128906,0.00010561943054199219,0.00032138824462890625
151,0,0,154,154,1,1,151.0,0,0,0,1,0,1.404059886932373,0.008789539337158203,5.7220458984375e-05,0.00015091896057128906,0.00010561943054199219,0.0003230571746826172
152,0,0,155,155,1,1,152.0,0,0,0,1,0,1.4041869640350342,0.008888721466064453,5.745887756347656e-05,0.00015091896057128906,0.00010561943054199219,0.0003247261047363281
153,0,0,156,156,1,1,153.0,0,0,0,1,0,1.4043281078338623,0.009003162384033203,5.793571472167969e-05,0.00015091896057128906,0.00010561943054199219,0.00032639503479003906
154,0,0,157,157,2,1,154.0,0,0,0,1,0,1.404484510421753,0.00912785530090332,5.841255187988281e-05,0.00015091896057128906,0.00010561943054199219,0.00032830238342285156
155,0,0,158,158,1,1,155.0,0,0,0,1,0,1.4046556949615479,0.009258270263671875,5.888938903808594e-05,0.00015091896057128906,0.00010561943054199219,0.0003304481506347656
156,0,0,159,159,1,1,156.0,0,0,0,1,0,1.4047980308532715,0.009370565414428711,5.936622619628906e-05,0.00015091896057128906,0.00010561943054199219,0.0003325939178466797
